date,block,elapsed_seconds,debt,sub_usds,nav,syrup_value,alm_usds,alm_usdc,tab,gain,owe,gap,daily_tab,daily_gain,daily_owe,pipeline_daily_sky
2026-08-18,25785424,86400,402531740,24676522,403196859.167765588464,403196858.749192588464,0,0.418573,722400.206893118997584129,935397.12197010251,42972.34797824634663771,-2535968,40359.358844532487758807,51985.507327040432,2474.161680847827090343,40412.59586840666877480175341
2026-08-19,25792601,86400,402531740,24676522,403248502.66517600363,403248502.24660300363,0,0.418573,762759.565737650964255181,987040.619380517676,45446.509659094141783656,-2535968,40359.358844531966671052,51643.497410415166,2474.161680847795145946,40412.59586840666877480175341
2026-08-20,25799779,86400,402531740,24676522,403300830.182419669328,403300829.763846669328,0,0.418573,803118.924582183363407676,1039368.136624183374,47920.67133994196344214,-2535968,40359.358844532399152495,52327.517243665698,2474.161680847821658484,40412.59586840666877480175341
2026-08-21,25806958,86400,402531740,24676522,403352815.68974670976,403352815.27117370976,0,0.418573,843478.283426715578278566,1091353.643951223806,50394.833020789773803554,-2535968,40359.35884453221487089,51985.507327040432,2474.161680847810361414,40412.59586840666877480175341
2026-08-22,25814126,86400,402531740,24676522,403405485.216907000724,403405484.798334000724,0,0.418573,883837.642271247964771883,1144023.17111151477,52868.994701637594685988,-2535968,40359.358844532386493317,52669.527160290964,2474.161680847820882434,40412.59586840666877480175341
2026-08-23,25821305,86400,402531740,24676522,403457812.734150666422,403457812.315577666422,0,0.418573,924197.001115780029996385,1196350.688355180468,55343.156382485395873585,-2535968,40359.358844532065224502,52327.517243665698,2474.161680847801187597,40412.59586840666877480175341
2026-08-24,25828483,86400,402531740,24676522,403510482.261310957386,403510481.842737957386,0,0.418573,964556.359960312247340234,1249020.215515471432,57817.3180633332063866,-2535968,40359.358844532217343849,52669.527160290964,2474.161680847810513015,40412.59586840666877480175341
2026-08-25,25835657,86400,402531740,24676522,403563151.78847124835,403563151.36989824835,0,0.418573,1004915.718804844598871939,1301689.742675762396,60291.479744181025125772,-2535968,40359.358844532351531705,52669.527160290964,2474.161680847818739172,40412.59586840666877480175341
2026-08-26,25842829,86400,402531740,24676522,403620951.464380918304,403620951.045807918304,0,0.418573,1045275.077649376935976047,1359489.41858543235,62765.641425028842980485,-2535968,40359.358844532337104108,57799.675909669954,2474.161680847817854713,40412.59586840666877480175341
2026-08-27,25850009,86400,402531740,24676522,403674305.0113744598,403674304.5928014598,0,0.418573,1085634.436493908976336718,1412842.965578973846,65239.803105876642643848,-2535968,40359.358844532040360671,53353.546993541496,2474.161680847799663363,40412.59586840666877480175341
2026-08-28,25857181,86400,402531740,24676522,403728342.578201251828,403728342.159628251828,0,0.418573,1125993.795338441391159841,1466880.532405765874,67713.964786724465262993,-2535968,40359.358844532414823123,54037.566826792028,2474.161680847822619145,40412.59586840666877480175341
2026-08-29,25864358,86400,402531740,24676522,403784774.214444420718,403784773.795871420718,0,0.418573,1166353.154182973621375315,1523312.168648934764,70188.126467572276565081,-2535968,40359.358844532230215474,56431.63624316889,2474.161680847811302088,40412.59586840666877480175341
2026-08-30,25871535,86400,402531740,24676522,403838811.781271212746,403838811.362698212746,0,0.418573,1206712.513027505691859055,1577349.735475726792,72662.288148420078075087,-2535968,40359.35884453207048374,54037.566826792028,2474.161680847801510006,40412.59586840666877480175341
2026-08-31,25878704,86400,402531740,24676522,403893191.35801463004,403893190.93944163004,0,0.418573,1247071.87187203784476892,1631729.312219144086,75136.449829267884638086,-2535968,40359.358844532152909865,54379.576743417294,2474.161680847806562999,40412.59586840666877480175341
